county,state,cases,deaths,2020 population,2019 raw GDP,percent change 2020
Autauga,Alabama,4190,48.0,58877.0,1540762,-1.3
Baldwin,Alabama,13601,161.0,233140.0,7134734,-2.1
Barbour,Alabama,1514,32.0,25180.0,729105,-5.8
Bibb,Alabama,1834,46.0,22223.0,380453,2.1
Blount,Alabama,4641,63.0,59081.0,932215,-5.4
Bullock,Alabama,859,22.0,10309.0,247229,1.3
Butler,Alabama,1508,45.0,19045.0,615641,-6.6
Calhoun,Alabama,9494,156.0,116266.0,4114829,-3.2
Chambers,Alabama,2341,63.0,34678.0,817533,-1.1
Cherokee,Alabama,1414,22.0,24958.0,527358,-9.8
Chilton,Alabama,2970,54.0,45024.0,980365,-2.4
Choctaw,Alabama,490,22.0,12619.0,492926,-0.9
Clarke,Alabama,2390,25.0,22995.0,736710,-0.9
Clay,Alabama,1141,34.0,14193.0,419318,-2.7
Cleburne,Alabama,1026,16.0,15035.0,274512,-5.2
Coffee,Alabama,3594,38.0,53565.0,1315749,-5
Colbert,Alabama,4660,60.0,57236.0,2341000,1.2
Conecuh,Alabama,837,17.0,11552.0,466540,-6.6
Coosa,Alabama,517,7.0,10383.0,176482,2.4
Covington,Alabama,2913,40.0,37469.0,1100109,-4.4
Crenshaw,Alabama,954,36.0,13157.0,428320,-12.6
Cullman,Alabama,7079,78.0,88044.0,2649646,-3.1
Dale,Alabama,3325,63.0,49214.0,2522516,-3.8
Dallas,Alabama,2769,43.0,38190.0,1102126,-4.4
DeKalb,Alabama,6900,61.0,71630.0,1857673,-4.3
Elmore,Alabama,6435,83.0,88116.0,1809270,-5.5
Escambia,Alabama,2661,34.0,36665.0,1206764,-4.4
Etowah,Alabama,10031,94.0,103393.0,2766192,-7.3
Fayette,Alabama,1430,19.0,16307.0,321519,-4.9
Franklin,Alabama,3270,37.0,32063.0,926671,-3.9
Geneva,Alabama,1677,20.0,26675.0,526336,-7.1
Greene,Alabama,672,20.0,7704.0,218149,-9.4
Hale,Alabama,1440,33.0,14792.0,241685,0
Henry,Alabama,1247,8.0,17167.0,407934,-4.5
Houston,Alabama,7279,64.0,107190.0,4957322,-3.4
Jackson,Alabama,5097,34.0,52519.0,1381755,-4.9
Jefferson,Alabama,52339,697.0,673341.0,41244762,-5
Lamar,Alabama,1056,15.0,13943.0,305015,-5.8
Lauderdale,Alabama,6478,70.0,93610.0,2367072,-2.9
Lawrence,Alabama,2044,42.0,33063.0,501518,4.5
Lee,Alabama,10320,75.0,174601.0,5603187,-0.6
Limestone,Alabama,6822,58.0,104322.0,3572973,-2.5
Lowndes,Alabama,945,32.0,10297.0,377807,-3.7
Macon,Alabama,999,30.0,19476.0,478726,-0.7
Madison,Alabama,22197,178.0,389696.0,23670284,-0.5
Marengo,Alabama,1793,26.0,19264.0,681595,-1
Marion,Alabama,2087,43.0,29287.0,792988,-3.7
Marshall,Alabama,9189,86.0,97608.0,3276199,-2.3
Mobile,Alabama,25858,506.0,414250.0,18652926,-3.1
Monroe,Alabama,1215,11.0,19723.0,599556,-5.2
Montgomery,Alabama,16116,276.0,228448.0,12558288,-3
Morgan,Alabama,10627,87.0,123336.0,5135887,-0.9
Perry,Alabama,867,10.0,8452.0,192844,-4.9
Pickens,Alabama,1734,26.0,19062.0,429936,-6
Pike,Alabama,2023,23.0,32981.0,1286294,-3.9
Randolph,Alabama,1245,30.0,21971.0,464111,-8.3
Russell,Alabama,2793,6.0,59226.0,1313851,-2.2
Shelby,Alabama,15668,103.0,223708.0,10814962,-2.9
St. Clair,Alabama,6467,73.0,91333.0,1871513,-2.5
Sumter,Alabama,849,24.0,12295.0,294189,-3.6
Talladega,Alabama,5165,75.0,82069.0,2864298,-3.8
Tallapoosa,Alabama,2368,98.0,41229.0,1265550,-3.2
Tuscaloosa,Alabama,18468,218.0,227153.0,10491624,-3.7
Walker,Alabama,5259,138.0,65100.0,1694530,-6.9
Washington,Alabama,1184,24.0,15296.0,,
Wilcox,Alabama,883,19.0,10518.0,,
Winston,Alabama,1968,30.0,23491.0,,
Aleutians East Borough,Alaska,38,0.0,,211829,-9.8
Aleutians West Census Area,Alaska,197,0.0,,372939,-3.4
Anchorage,Alaska,22820,118.0,,,
Bethel Census Area,Alaska,2427,9.0,,669380,-3.3
Bristol Bay plus Lake and Peninsula,Alaska,157,0.0,,,
Denali Borough,Alaska,59,0.0,,259591,-21.6
Dillingham Census Area,Alaska,121,1.0,,239239,-10
Fairbanks North Star Borough,Alaska,4900,19.0,,5254634,-3.1
Haines Borough,Alaska,20,0.0,,108666,-21.7
Juneau City and Borough,Alaska,1030,3.0,,2302465,-5.2
Kenai Peninsula Borough,Alaska,3604,15.0,,2703389,-1.6
Ketchikan Gateway Borough,Alaska,236,0.0,,838509,-11.1
Kodiak Island Borough,Alaska,912,2.0,,717581,-5.2
Kusilvak Census Area,Alaska,767,2.0,,141922,-0.3
Matanuska-Susitna Borough,Alaska,6353,16.0,,2556968,-0.9
Nome Census Area,Alaska,275,0.0,,407769,-3
North Slope Borough,Alaska,798,2.0,,10389622,-12
Northwest Arctic Borough,Alaska,401,0.0,,666604,-6.9
Petersburg Borough,Alaska,27,0.0,,185348,-0.3
Prince of Wales-Hyder Census Area,Alaska,67,1.0,,263853,-1.2
Sitka City and Borough,Alaska,266,0.0,,441235,-12.7
Skagway Municipality,Alaska,16,0.0,,99677,-29
Southeast Fairbanks Census Area,Alaska,406,3.0,,602812,3.3
Unknown,Alaska,218,0.0,,,
Valdez-Cordova Census Area,Alaska,341,2.0,,,
Wrangell City and Borough,Alaska,24,0.0,,94807,-1
Yakutat plus Hoonah-Angoon,Alaska,51,1.0,,,
Yukon-Koyukuk Census Area,Alaska,209,4.0,,270179,-5
Apache,Arizona,7438,237.0,65897.0,2128397,1.4
Cochise,Arizona,7480,130.0,125398.0,4280992,5.2
Coconino,Arizona,11126,210.0,145116.0,6829438,-7.4
Gila,Arizona,4517,135.0,53306.0,1687658,-0.2
Graham,Arizona,3228,51.0,38614.0,947920,3.7
Greenlee,Arizona,400,4.0,9522.0,1576320,-4.8
La Paz,Arizona,1464,35.0,16580.0,682877,0.9
Maricopa,Arizona,322449,5125.0,4438342.0,233321462,-0.6
Mohave,Arizona,12573,344.0,214070.0,5074156,0.8
Navajo,Arizona,11296,342.0,106802.0,2642699,-4
Pima,Arizona,69522,1064.0,1045599.0,40179930,-4.2
Pinal,Arizona,27649,367.0,429583.0,8585413,1.9
Santa Cruz,Arizona,6002,98.0,47653.0,1767253,-1.9
Yavapai,Arizona,11319,218.0,237067.0,6692200,-1.1
Yuma,Arizona,27366,519.0,204437.0,7384506,0.5
Arkansas,Arkansas,1314,30.0,17105.0,,
Ashley,Arkansas,1273,21.0,18960.0,677007,-9.8
Baxter,Arkansas,2065,71.0,41655.0,1278578,-3
Benton,Arkansas,17758,264.0,286353.0,14096756,2.6
Boone,Arkansas,2571,68.0,37352.0,1170571,-1.1
Bradley,Arkansas,940,11.0,10498.0,298606,-4.8
Calhoun,Arkansas,234,1.0,4725.0,310815,-1.1
Carroll,Arkansas,2073,30.0,28202.0,790413,-2.1
Chicot,Arkansas,1410,30.0,10143.0,242945,2.8
Clark,Arkansas,1371,21.0,21362.0,714943,-4.8
Clay,Arkansas,1317,30.0,14508.0,298149,1.9
Cleburne,Arkansas,1236,38.0,24665.0,715489,-3.6
Cleveland,Arkansas,571,17.0,7544.0,118887,-19
Columbia,Arkansas,1567,41.0,22741.0,833191,-7.6
Conway,Arkansas,1306,16.0,20729.0,749372,-2.2
Craighead,Arkansas,10077,136.0,111576.0,4334486,-1.8
Crawford,Arkansas,4451,58.0,60107.0,1547475,-1.2
Crittenden,Arkansas,4319,73.0,48067.0,1679445,-4.8
Cross,Arkansas,1394,36.0,16762.0,397141,6.4
Dallas,Arkansas,482,11.0,6445.0,190580,-2.7
Desha,Arkansas,953,11.0,11330.0,511387,1.7
Drew,Arkansas,1448,19.0,17309.0,559291,-6.8
Faulkner,Arkansas,7618,92.0,123666.0,3561759,-3.9
Franklin,Arkansas,1088,25.0,17122.0,412443,2.3
Fulton,Arkansas,884,36.0,12033.0,163622,-1
Garland,Arkansas,5782,153.0,100162.0,3054365,-3.2
Grant,Arkansas,1071,12.0,17975.0,385744,-0.7
Greene,Arkansas,4431,51.0,45818.0,1329611,-1.2
Hempstead,Arkansas,1220,11.0,19993.0,861068,-2.2
Hot Spring,Arkansas,3636,55.0,33034.0,873798,-2
Howard,Arkansas,1106,18.0,12755.0,538514,-5.5
Independence,Arkansas,2751,93.0,37892.0,1634129,-9
Izard,Arkansas,1298,13.0,13576.0,258246,-10.1
Jackson,Arkansas,2821,22.0,16737.0,640155,3.5
Jefferson,Arkansas,6718,127.0,66811.0,2749951,-2.5
Johnson,Arkansas,1823,20.0,25692.0,655736,-2.9
Lafayette,Arkansas,342,4.0,6294.0,126838,1.9
Lawrence,Arkansas,1574,35.0,16196.0,394968,7.2
Lee,Arkansas,1430,26.0,8529.0,162592,-11
Lincoln,Arkansas,2820,24.0,12879.0,220915,-6
Little River,Arkansas,821,38.0,11971.0,438064,-1.1
Logan,Arkansas,1419,11.0,21097.0,438825,-4
Lonoke,Arkansas,4133,79.0,74042.0,1193391,-0.9
Madison,Arkansas,1025,12.0,16551.0,342893,2.2
Marion,Arkansas,629,24.0,16862.0,545770,-19.3
Miller,Arkansas,2749,25.0,42570.0,1233604,-6
Mississippi,Arkansas,4393,94.0,40503.0,,
Monroe,Arkansas,475,7.0,6765.0,,
Montgomery,Arkansas,492,18.0,8459.0,,
Nevada,Arkansas,594,20.0,8284.0,,
Newton,Arkansas,553,24.0,7198.0,,
Ouachita,Arkansas,1370,27.0,22592.0,,
Perry,Arkansas,438,5.0,9997.0,,
Phillips,Arkansas,1264,25.0,16445.0,,
Pike,Arkansas,685,10.0,10165.0,,
Poinsett,Arkansas,2406,62.0,22893.0,,
Polk,Arkansas,1255,42.0,19182.0,,
Pope,Arkansas,5448,58.0,63346.0,,
Prairie,Arkansas,545,16.0,8248.0,,
Pulaski,Arkansas,24662,390.0,399073.0,,
Randolph,Arkansas,1455,42.0,18581.0,,
Saline,Arkansas,7563,104.0,123681.0,,
Scott,Arkansas,588,11.0,9811.0,,
Searcy,Arkansas,503,11.0,7827.0,,
Sebastian,Arkansas,9514,156.0,127739.0,,
Sevier,Arkansas,2079,20.0,15778.0,,
Sharp,Arkansas,1134,32.0,17282.0,,
St. Francis,Arkansas,2728,20.0,23046.0,,
Stone,Arkansas,765,27.0,12364.0,,
Union,Arkansas,2428,73.0,38925.0,,
Unknown,Arkansas,2819,0.0,,,
Van Buren,Arkansas,743,8.0,15765.0,,
Washington,Arkansas,21420,222.0,246662.0,,
White,Arkansas,4748,69.0,76810.0,,
Woodruff,Arkansas,362,2.0,6200.0,,
Yell,Arkansas,2390,42.0,20216.0,,
Alameda,California,51611,657.0,1679844.0,126183638,-3.5
Alpine,California,65,0.0,1198.0,104501,-9.6
Amador,California,2417,24.0,40541.0,1625096,-3.3
Butte,California,7390,96.0,210083.0,8701260,-6.6
Calaveras,California,1131,22.0,45327.0,1412753,-7.1
Colusa,California,1351,8.0,21853.0,1244078,18.6
Contra Costa,California,40697,335.0,1165562.0,79295699,-3.3
Del Norte,California,760,2.0,27709.0,704591,12.3
El Dorado,California,5590,22.0,191114.0,7435270,-6.8
Fresno,California,65400,646.0,1008966.0,42111573,-2.1
Glenn,California,1458,14.0,28893.0,1124597,16.1
Humboldt,California,1764,22.0,136351.0,5185967,-4.1
Imperial,California,22267,419.0,179489.0,8471316,-2.3
Inyo,California,571,20.0,19023.0,1214209,-2.6
Kern,California,68969,512.0,909997.0,49221208,-1.1
Kings,California,16114,110.0,152627.0,6054971,3.5
Lake,California,1817,23.0,68174.0,1875971,0.4
Lassen,California,4691,9.0,32719.0,1071584,1.1
Los Angeles,California,770915,10345.0,9989165.0,703781312,-6.3
Madera,California,10491,117.0,156620.0,6194111,0.8
Marin,California,9800,139.0,261776.0,27175273,-1.1
Mariposa,California,252,4.0,17124.0,775501,-9.1
Mendocino,California,2558,26.0,91354.0,3295575,-3.3
Merced,California,19444,260.0,281726.0,9119281,-0.2
Modoc,California,323,1.0,8658.0,414965,5.5
Mono,California,868,4.0,13206.0,1016599,-9.3
Monterey,California,27859,193.0,438500.0,26819709,-5.3
Napa,California,5742,28.0,137608.0,9997969,-5.2
Nevada,California,2609,50.0,102199.0,,
Orange,California,166196,1875.0,3184101.0,,
Placer,California,13755,125.0,405741.0,,
Plumas,California,398,1.0,19769.0,,
Riverside,California,180553,1985.0,2422764.0,,
Sacramento,California,65540,857.0,1586241.0,,
San Benito,California,3673,29.0,64507.0,,
San Bernardino,California,194377,1445.0,2182740.0,,
San Diego,California,155658,1534.0,3297252.0,,
San Francisco,California,23227,186.0,870014.0,,
San Joaquin,California,45583,651.0,780517.0,,
San Luis Obispo,California,10490,82.0,282231.0,,
San Mateo,California,24589,227.0,762453.0,,
Santa Barbara,California,17391,160.0,448096.0,,
Santa Clara,California,69879,710.0,1930598.0,,
Santa Cruz,California,8749,83.0,270353.0,,
Shasta,California,8060,78.0,181893.0,,
Sierra,California,24,0.0,3228.0,,
Siskiyou,California,1176,11.0,43962.0,,
Solano,California,19216,98.0,453274.0,,
Sonoma,California,19055,192.0,488345.0,,
Stanislaus,California,37524,616.0,552710.0,,
Sutter,California,6505,52.0,99480.0,,
Tehama,California,2967,36.0,65615.0,,
Trinity,California,251,4.0,16088.0,,
Tulare,California,33443,406.0,473736.0,,
Tuolumne,California,2962,21.0,55516.0,,
Ventura,California,39559,263.0,842921.0,,
Yolo,California,8238,111.0,216255.0,,
Yuba,California,3898,19.0,81932.0,,
Adams,Colorado,40344,529.0,520163.0,25858619,-1.6
Alamosa,Colorado,935,24.0,16362.0,641874,3.6
Arapahoe,Colorado,38457,590.0,655112.0,44278392,-1.8
Archuleta,Colorado,485,0.0,13424.0,510854,-3.2
Baca,Colorado,189,1.0,3486.0,128539,35.2
Bent,Colorado,1037,12.0,5635.0,131212,9.1
Boulder,Colorado,14706,182.0,330811.0,27502894,-3.2
Broomfield,Colorado,2804,66.0,74513.0,6937897,-0.6
Chaffee,Colorado,1020,21.0,19571.0,743484,-1
Cheyenne,Colorado,89,5.0,1736.0,186510,15.6
Clear Creek,Colorado,279,2.0,9404.0,536445,-6.7
Conejos,Colorado,315,3.0,7464.0,198454,2.8
Costilla,Colorado,161,2.0,3506.0,81632,8.6
Crowley,Colorado,1647,12.0,5893.0,125619,-1.5
Custer,Colorado,148,0.0,4712.0,120477,3.3
Delta,Colorado,1580,25.0,31232.0,100862,2.9
Denver,Colorado,47711,674.0,717630.0,74702568,-3.9
Dolores,Colorado,52,0.0,2338.0,152722,3
Douglas,Colorado,15981,199.0,360102.0,17821178,-2.7
Eagle,Colorado,3374,16.0,55665.0,3703041,-6.9
El Paso,Colorado,41325,555.0,731847.0,29805366,-0.9
Elbert,Colorado,987,9.0,26206.0,651598,0.2
Fremont,Colorado,4662,19.0,48981.0,1271820,0.1
Garfield,Colorado,3875,28.0,61776.0,4427385,-4.7
Gilpin,Colorado,125,1.0,5810.0,540277,-12.1
Grand,Colorado,660,4.0,15733.0,876168,-2.9
Gunnison,Colorado,696,6.0,16945.0,1021921,-7.9
Hinsdale,Colorado,13,0.0,794.0,34036,-6.3
Huerfano,Colorado,276,18.0,6810.0,260530,9.3
Jackson,Colorado,33,0.0,1376.0,748894,-10
Jefferson,Colorado,29565,612.0,582928.0,22059368,-6.2
Kiowa,Colorado,75,2.0,1452.0,76882,20.2
Kit Carson,Colorado,436,9.0,7064.0,364462,10.9
La Plata,Colorado,2226,28.0,55642.0,3337450,-6.1
Lake,Colorado,426,0.0,7409.0,299173,-6.7
Larimer,Colorado,15099,142.0,359686.0,18815195,-1
Las Animas,Colorado,506,6.0,14564.0,674763,1.8
Lincoln,Colorado,795,3.0,5669.0,349399,16.7
Logan,Colorado,3238,54.0,21495.0,988146,0.6
Mesa,Colorado,9055,134.0,155939.0,6039762,-3.1
Mineral,Colorado,42,1.0,867.0,53697,-10.9
Moffat,Colorado,541,19.0,13267.0,993518,-0.5
Montezuma,Colorado,1231,16.0,25858.0,1990268,-14.7
Montrose,Colorado,2114,31.0,42798.0,1478875,-0.8
Morgan,Colorado,2119,81.0,29065.0,1479665,-2.4
Otero,Colorado,1619,39.0,18667.0,554988,1.2
Ouray,Colorado,154,3.0,4869.0,221293,0
Park,Colorado,385,5.0,17421.0,409944,0.2
Phillips,Colorado,278,7.0,4534.0,180001,5.8
Pitkin,Colorado,1047,4.0,17342.0,2040693,-9.5
Prowers,Colorado,1004,20.0,11986.0,502188,-6.5
Pueblo,Colorado,13218,304.0,168467.0,5790286,-4.1
Rio Blanco,Colorado,267,3.0,6518.0,807105,-3.8
Rio Grande,Colorado,384,7.0,11538.0,435773,1.8
Routt,Colorado,1042,18.0,24839.0,1803011,-4.1
Saguache,Colorado,255,4.0,6383.0,210208,1.4
San Juan,Colorado,27,0.0,710.0,33225,53.1
San Miguel,Colorado,394,0.0,8055.0,588502,-5.9
Sedgwick,Colorado,126,2.0,2390.0,79740,5.8
Summit,Colorado,2134,5.0,30971.0,2401743,-5.4
Teller,Colorado,990,9.0,24726.0,918493,-2.8
Washington,Colorado,347,10.0,4815.0,,
Weld,Colorado,19925,285.0,331358.0,,
Yuma,Colorado,549,13.0,9979.0,,
Fairfield,Connecticut,56288,1720.0,955895.0,81895069,-5.8
Hartford,Connecticut,46680,1852.0,897932.0,79002484,-7.3
Litchfield,Connecticut,7476,225.0,184874.0,7612070,-5.6
Middlesex,Connecticut,6566,237.0,163923.0,8854701,-8.4
New Haven,Connecticut,47375,1529.0,863498.0,47182725,-3.5
New London,Connecticut,10618,245.0,268248.0,17508777,-11.1
Tolland,Connecticut,4900,109.0,149650.0,4961783,-1.7
Unknown,Connecticut,665,0.0,,,
Windham,Connecticut,5140,78.0,116240.0,4550511,-4.1
Kent,Delaware,9173,167.0,182256.0,7681601,-0.5
New Castle,Delaware,33211,462.0,570718.0,44503725,-3.7
Sussex,Delaware,14936,297.0,238912.0,12151829,-4.1
Unknown,Delaware,136,0.0,,,
District of Columbia,District of Columbia,28983,786.0,,,
Alachua,Florida,15866,129.0,278684.0,12675917,-0.2
Baker,Florida,2470,36.0,28309.0,598797,6
Bay,Florida,11907,209.0,174461.0,7770640,-1
Bradford,Florida,2180,23.0,28364.0,608191,-2.1
Brevard,Florida,21034,523.0,608007.0,24488126,-0.9
Broward,Florida,137610,1847.0,1941516.0,99667401,-4.6
Calhoun,Florida,1233,28.0,13615.0,228221,0.8
Charlotte,Florida,7410,231.0,187960.0,5132804,-0.2
Citrus,Florida,6663,266.0,154403.0,3889873,-1.6
Clay,Florida,11261,186.0,218797.0,5044563,-2.7
Collier,Florida,22506,332.0,377079.0,17915539,-2
Columbia,Florida,6007,117.0,69889.0,2160466,-3.3
DeSoto,Florida,2898,56.0,34080.0,973502,0.3
Dixie,Florida,1115,11.0,16805.0,280960,0.2
Duval,Florida,61321,725.0,996373.0,60575324,-0.1
Escambia,Florida,22349,373.0,322424.0,14286019,-1
Flagler,Florida,3724,48.0,115968.0,2605838,1.9
Franklin,Florida,900,4.0,12456.0,344397,-2.6
Gadsden,Florida,3987,59.0,43701.0,1182620,2.2
Gilchrist,Florida,1014,23.0,17928.0,345971,25.3
Glades,Florida,769,11.0,12179.0,354905,4.7
Gulf,Florida,1333,27.0,14181.0,381387,2.8
Hamilton,Florida,1277,15.0,13988.0,458490,1.6
Hardee,Florida,2110,20.0,25313.0,964327,8.5
Hendry,Florida,3291,49.0,39707.0,1299512,3.9
Hernando,Florida,7336,278.0,195508.0,3966234,-0.9
Highlands,Florida,4975,204.0,101222.0,2426133,-1.4
Hillsborough,Florida,77118,1071.0,1463380.0,85153512,-1.9
Holmes,Florida,1683,25.0,19622.0,372328,-1.6
Indian River,Florida,6875,159.0,160345.0,6251797,-4.2
Jackson,Florida,4649,118.0,47214.0,1248219,-1.8
Jefferson,Florida,994,16.0,14560.0,274791,2
Lafayette,Florida,1422,22.0,8252.0,150680,6.3
Lake,Florida,15559,295.0,385875.0,9264579,1.2
Lee,Florida,40634,672.0,764679.0,29723883,-2.4
Leon,Florida,19573,175.0,292378.0,13766905,-3.2
Levy,Florida,1851,19.0,43051.0,906727,-0.6
Liberty,Florida,750,14.0,7974.0,185745,-0.5
Madison,Florida,1540,33.0,17976.0,384413,2.6
Manatee,Florida,22332,433.0,401443.0,14154659,-0.8
Marion,Florida,17799,463.0,377370.0,9424822,1.8
Martin,Florida,7839,210.0,158529.0,7155892,-2.1
Miami-Dade,Florida,298872,4188.0,2692459.0,148725621,-5.5
Monroe,Florida,4226,35.0,82809.0,4648398,-5.7
Nassau,Florida,4775,66.0,90993.0,2565853,-2.3
Okaloosa,Florida,12856,231.0,211809.0,11170644,-0.1
Okeechobee,Florida,2430,51.0,39641.0,1594097,9.3
Orange,Florida,76457,748.0,1429899.0,90788216,-7.8
Osceola,Florida,25344,288.0,390855.0,10151723,-3.9
Palm Beach,Florida,82888,1895.0,1492466.0,77975264,-2.8
Pasco,Florida,21932,376.0,565745.0,12256921,0.6
Pinellas,Florida,44975,1049.0,958752.0,46331979,-1.4
Polk,Florida,37403,790.0,729233.0,24938252,1.4
Putnam,Florida,3990,72.0,73347.0,2013030,1.2
Santa Rosa,Florida,11180,128.0,189133.0,4403068,0.4
Sarasota,Florida,18607,509.0,435664.0,19617326,-1.8
Seminole,Florida,18083,314.0,471058.0,20751894,-1.4
St. Johns,Florida,13072,113.0,276916.0,8889977,0.6
St. Lucie,Florida,14278,405.0,331275.0,8786833,-0.1
Sumter,Florida,5085,120.0,130897.0,3735975,3.3
Suwannee,Florida,4015,97.0,43510.0,1168357,-2
Taylor,Florida,1967,25.0,21760.0,659514,-4
Union,Florida,1439,65.0,16126.0,266577,5.1
Unknown,Florida,3010,0.0,,,
Volusia,Florida,22291,449.0,554901.0,16867458,-1.9
Wakulla,Florida,2106,25.0,33907.0,670427,-0.1
Walton,Florida,4891,48.0,75855.0,3028535,-0.7
Washington,Florida,1971,30.0,25357.0,,
Appling,Georgia,1677,44.0,18428.0,1388942,9.6
Atkinson,Georgia,775,9.0,8301.0,219752,-1.2
Bacon,Georgia,1011,25.0,11123.0,339090,3
Baker,Georgia,164,6.0,2844.0,73676,-2.9
Baldwin,Georgia,3203,75.0,43773.0,1227563,-5.8
Banks,Georgia,1248,20.0,18069.0,395898,-10.9
Barrow,Georgia,5296,67.0,83963.0,2011714,0.6
Bartow,Georgia,7951,130.0,109311.0,4529467,-2.3
Ben Hill,Georgia,1491,44.0,17153.0,464846,-0.2
Berrien,Georgia,1132,31.0,18159.0,365401,-7.9
Bibb,Georgia,10126,261.0,157104.0,7565865,-3.4
Bleckley,Georgia,1016,35.0,12577.0,218073,-1.9
Brantley,Georgia,1044,20.0,18040.0,223503,-2.3
Brooks,Georgia,994,31.0,16232.0,372427,13.4
Bryan,Georgia,1963,21.0,44999.0,931778,0.4
Bulloch,Georgia,4421,57.0,81378.0,2230248,-2.2
Burke,Georgia,1570,20.0,24621.0,2770976,5.6
Butts,Georgia,1703,48.0,25542.0,606238,1.9
Calhoun,Georgia,362,11.0,5560.0,116646,5.7
Camden,Georgia,2491,22.0,54911.0,1681147,-2.1
Candler,Georgia,689,36.0,11001.0,242307,2.3
Carroll,Georgia,7614,125.0,119463.0,4379895,0.5
Catoosa,Georgia,3442,39.0,67976.0,1369792,-2.2
Charlton,Georgia,1031,19.0,12530.0,188145,1.5
Chatham,Georgia,13657,239.0,294904.0,16972627,-7.8
Chattahoochee,Georgia,2211,3.0,9482.0,1461834,1.4
Chattooga,Georgia,1822,47.0,24921.0,521470,-12.6
Cherokee,Georgia,16567,132.0,268043.0,7328211,-1.8
Clarke,Georgia,10088,66.0,128489.0,6953967,-4.5
Clay,Georgia,177,3.0,2835.0,83827,9.3
Clayton,Georgia,14415,233.0,297417.0,17042400,-24.3
Clinch,Georgia,650,14.0,6723.0,227836,10.6
Cobb,Georgia,44345,575.0,766209.0,50373128,-3.7
Coffee,Georgia,4090,93.0,43047.0,1417286,-5.2
Colquitt,Georgia,3151,53.0,45866.0,1332075,0.4
Columbia,Georgia,10031,100.0,156773.0,3761838,-1.8
Cook,Georgia,1261,25.0,17232.0,340272,0.3
Coweta,Georgia,8282,84.0,146653.0,4439799,-0.4
Crawford,Georgia,422,8.0,12100.0,145580,-1.6
Crisp,Georgia,1386,39.0,20042.0,808578,-5.8
Dade,Georgia,822,8.0,16224.0,381863,-4.2
Dawson,Georgia,1793,16.0,27047.0,819918,-4.4
DeKalb,Georgia,38320,531.0,763831.0,37502746,-3.1
Decatur,Georgia,2008,51.0,29338.0,734452,1.4
Dodge,Georgia,1451,62.0,19849.0,400451,-5.5
Dooly,Georgia,673,25.0,11142.0,383901,-10.3
Dougherty,Georgia,4761,213.0,85366.0,4053082,-3.2
Douglas,Georgia,8264,109.0,144497.0,4299267,-4.2
Early,Georgia,810,41.0,10813.0,434379,6.5
Echols,Georgia,378,3.0,3696.0,39643,2.5
Effingham,Georgia,2702,35.0,65150.0,1737909,9.6
Elbert,Georgia,1636,33.0,19627.0,567768,1.1
Emanuel,Georgia,1843,53.0,22730.0,616873,-1.6
Evans,Georgia,663,13.0,10757.0,342318,-4.6
Fannin,Georgia,1364,43.0,25396.0,686539,-5.6
Fayette,Georgia,4833,77.0,119441.0,4840047,-3.1
Floyd,Georgia,7713,128.0,98593.0,3676108,-5.1
Forsyth,Georgia,10827,81.0,252786.0,9491142,-2
Franklin,Georgia,1815,26.0,23429.0,858799,-10
Fulton,Georgia,56903,790.0,1069023.0,168439892,-4.2
Gilmer,Georgia,1844,38.0,31429.0,832482,-5.7
Glascock,Georgia,178,4.0,2883.0,30275,-3.4
Glynn,Georgia,5276,135.0,84470.0,3559558,-4.5
Gordon,Georgia,4897,66.0,57696.0,2165968,-4
Grady,Georgia,1323,31.0,26221.0,585465,-1.6
Greene,Georgia,1128,28.0,19025.0,684403,-4.9
Gwinnett,Georgia,57528,601.0,957801.0,45850475,-3.1
Habersham,Georgia,3788,91.0,46105.0,1381218,-4.3
Hall,Georgia,18416,232.0,203589.0,10114487,-1.7
Hancock,Georgia,671,47.0,8722.0,144556,-1.2
Haralson,Georgia,1874,38.0,29985.0,746267,-2.1
Harris,Georgia,1449,29.0,34927.0,492674,-5
Hart,Georgia,1530,33.0,25866.0,823944,-8.8
Heard,Georgia,582,11.0,11465.0,1142905,-1.4
Henry,Georgia,13482,158.0,241818.0,6229082,-2.3
Houston,Georgia,8017,130.0,164242.0,6383219,-1.6
Irwin,Georgia,658,17.0,9643.0,184395,3.7
Jackson,Georgia,5635,73.0,76712.0,2927747,2.2
Jasper,Georgia,828,9.0,14638.0,260282,-0.6
Jeff Davis,Georgia,1241,35.0,14777.0,380305,-1.8
Jefferson,Georgia,1305,40.0,15658.0,503011,-2.8
Jenkins,Georgia,558,34.0,8662.0,148758,1.4
Johnson,Georgia,732,33.0,9168.0,113589,-5.5
Jones,Georgia,1156,24.0,28356.0,410910,-2.9
Lamar,Georgia,1172,32.0,18550.0,377920,3.6
Lanier,Georgia,530,10.0,9916.0,113123,0.4
Laurens,Georgia,3804,121.0,49497.0,1589735,-1.9
Lee,Georgia,1546,33.0,33179.0,653586,2.7
Liberty,Georgia,1938,31.0,65220.0,3320174,-1.3
Lincoln,Georgia,438,11.0,7704.0,114721,-1.2
Long,Georgia,501,5.0,16287.0,159866,-3
Lowndes,Georgia,8691,136.0,118316.0,4566913,-2.1
Lumpkin,Georgia,1944,23.0,33596.0,780950,-0.8
Macon,Georgia,464,16.0,12021.0,400970,-10.7
Madison,Georgia,1861,23.0,30263.0,496115,-4.4
